REGISTERENHETID,BRUKSENHETSID,SALGS_DOKUMENTAAR,SALGSBELOEP,BRUKSAREAL,POSTNUMMER,GATENAVN,BEBYGDAREAL,BRUKSENHETSTYPEKODE,ANTALLROM,DOKUMENTDATO
3129219,61167642,2019,0,160,9027,Breivikeidvegen,1,Bolig,4,20/02/2019
3126840,61076385,2023,0,59,9020,Arthur Arntzens veg,0,Bolig,2,28/08/2023
3145124,61029484,2020,8000000,0,9008,Grønnegata,0,UOPPGITT,0,04/09/2020
3124765,61121487,2019,990000,36,9023,Tønsvikdalen,0,Fritidsbolig,0,21/01/2019
4107518,60899075,2020,0,101,9013,Alaskasvingen,0,Bolig,3,15/07/2020
3143320,61130780,2022,0,136,9043,Jøvikvegen,1,Fritidsbolig,5,24/06/2022
500530230,575222187,2020,1200000,39,9006,Strandvegen,2970,Bolig,2,27/04/2020
234452389,60903157,2022,3160000,71,9020,Sommarfjøsvegen,2055,Bolig,3,12/01/2022
234454962,60806288,2021,2200000,87,9020,Albertsvingen,0,Bolig,3,06/05/2021
234451772,61045788,2022,2450000,63,9018,Utsikten,0,Bolig,2,04/04/2022
283655852,61043509,2021,0,48,9009,Rektor Horsts gate,48,Bolig,3,19/11/2021
3131747,61112973,2019,400000,215,9101,Rautindvegen,0,Bolig,4,12/12/2019
234616534,60955352,2021,0,45,9024,Tomasjordnes,1934,Bolig,2,06/12/2021
4098875,60872976,2020,3650000,93,9016,Trollringen,0,Bolig,3,31/08/2020
4107518,60899075,2020,3600000,101,9013,Alaskasvingen,0,Bolig,3,21/10/2020
3141619,60983241,2019,5800000,136,9012,Holtvegen,0,Bolig,4,14/02/2019
3124768,145589829,2019,800000,30,9023,Tønsvikdalen,0,Fritidsbolig,0,08/08/2019
3125656,61062401,2023,4870000,140,9024,Krøkebærvegen,0,Bolig,4,11/05/2023
3361852,146683624,2020,0,31,9108,Synnøvjordvegen,0,Fritidsbolig,0,02/07/2020
3361855,61144958,2020,0,70,9108,Synnøvjordvegen,1,Ikke godkjent,3,02/07/2020
264341477,60941789,2021,3625000,69,9024,Tomasjordnes,543,Bolig,4,14/09/2021
263543943,507591459,2022,3850000,51,9010,Stakkevollvegen,629,Bolig,2,20/07/2022
